lead_id,listing_id,user_id,lead_date
1,7868,2864,2025-09-06
2,6908,1469,2025-02-28
3,165,790,2025-05-17
4,6710,2945,2025-04-27
5,3123,784,2025-05-29
6,2262,3567,2025-10-05
7,7707,895,2024-08-03
8,3110,2448,2025-10-02
9,628,2873,2025-09-14
10,7218,3884,2025-07-23
11,1867,1539,2024-12-31
12,3893,3486,2024-11-20
13,7337,4242,2025-07-23
14,2213,60,2025-12-27
15,5930,727,2025-09-11
16,1652,2189,2025-11-29
17,588,4026,2025-11-29
18,4152,564,2025-12-30
19,128,48,2025-11-18
20,3990,912,2025-12-21
21,4701,3067,2025-12-31
22,3948,837,2025-12-28
23,5383,2451,2024-11-22
24,7403,2825,2025-12-01
25,833,2553,2025-11-08
26,4775,2937,2025-12-24
27,809,2292,2025-03-10
28,4772,2943,2025-06-20
29,2678,4360,2025-12-13
30,6348,1552,2025-01-02
31,4446,3985,2025-01-25
32,7025,1743,2025-11-05
33,3143,4498,2025-10-03
34,298,3826,2025-09-20
35,1433,4873,2025-12-09
36,3229,3493,2025-10-03
37,5952,639,2025-01-21
38,6922,4240,2025-02-25
39,407,4384,2025-08-04
40,2108,1977,2025-05-09
41,7331,4264,2025-12-24
42,4249,562,2025-05-11
43,3135,4431,2025-12-15
44,2548,4338,2025-11-21
45,1147,3838,2025-12-22
46,5846,1392,2025-08-26
47,1601,191,2024-12-24
48,6744,4871,2025-06-20
49,4950,258,2025-09-20
50,3733,144,2025-10-30
51,6453,2554,2025-05-17
52,5927,3156,2025-07-10
53,2257,2055,2024-12-02
54,2789,27,2025-12-13
55,1935,180,2025-12-02
56,5432,57,2025-02-13
57,3094,22,2025-10-20
58,2144,2930,2024-12-17
59,5843,1019,2025-09-09
60,5523,4999,2025-12-18
61,5036,390,2025-07-09
62,4192,686,2025-09-03
63,6871,4205,2024-12-06
64,3928,1891,2025-12-04
65,1729,433,2025-04-15
66,234,1453,2025-03-22
67,4039,3094,2025-12-09
68,1960,1137,2025-12-10
69,6618,3744,2025-09-27
70,1502,1363,2025-09-21
71,1694,4066,2024-08-18
72,1819,3496,2025-06-18
73,5023,2655,2025-06-06
74,486,2145,2024-11-24
75,6809,1701,2025-11-03
76,1198,3161,2025-08-22
77,7296,368,2025-09-14
78,2720,4794,2025-07-24
79,394,2133,2025-10-07
80,3804,1916,2025-01-01
81,2922,1728,2025-07-18
82,2682,1154,2025-12-03
83,1346,3427,2025-11-27
84,6207,2999,2025-08-04
85,2132,4831,2025-08-19
86,1688,430,2025-12-20
87,7909,2818,2025-08-21
88,7056,1714,2025-02-22
89,7876,4615,2025-12-11
90,3836,1556,2025-11-01
91,6299,2501,2025-06-04
92,6910,3025,2025-12-19
93,791,1596,2025-07-02
94,5547,2841,2025-11-24
95,6631,4813,2025-12-29
96,3559,2425,2025-07-11
97,1189,3448,2025-03-15
98,486,3112,2025-03-31
99,6750,508,2025-06-10
100,5858,209,2025-09-21
101,4998,4602,2025-11-04
102,5097,3756,2024-12-10
103,1281,3827,2024-07-22
104,2092,91,2025-11-27
105,5740,2575,2025-10-22
106,735,2117,2025-04-05
107,5364,1986,2025-06-16
108,938,3169,2025-12-26
109,2384,747,2025-04-15
110,6481,565,2025-11-15
111,4981,730,2024-07-07
112,5745,1640,2025-04-18
113,3558,3008,2025-04-27
114,3440,2544,2025-09-18
115,5876,405,2025-08-13
116,7975,1282,2025-07-18
117,5720,2955,2025-11-28
118,7572,2364,2025-04-18
119,7252,1420,2025-06-15
120,3507,334,2025-12-14
121,346,3382,2025-02-14
122,1042,4424,2025-10-26
123,6165,4712,2025-11-29
124,5398,1501,2025-10-17
125,1371,1552,2025-08-29
126,4266,2128,2025-03-09
127,1669,2950,2024-10-01
128,6971,3789,2025-07-14
129,4991,1538,2025-05-02
130,4406,4890,2025-11-13
131,2615,4696,2025-08-20
132,2463,3009,2025-06-29
133,7177,4607,2025-06-02
134,4631,1370,2025-12-11
135,1275,2671,2025-11-03
136,523,3954,2024-11-11
137,2284,3983,2024-09-17
138,2639,1442,2025-05-02
139,4887,2219,2025-11-05
140,5101,3648,2025-09-21
141,3756,2912,2025-01-11
142,3262,3001,2025-12-01
143,2578,837,2024-06-17
144,1331,4219,2025-08-01
145,6931,4204,2024-08-15
146,5515,2729,2025-12-18
147,3569,1654,2025-01-09
148,4392,1542,2025-09-01
149,3508,4018,2024-04-14
150,3342,3469,2025-12-21
151,2844,3720,2025-10-01
152,478,1722,2025-10-02
153,658,27,2025-11-05
154,642,1374,2025-10-04
155,1046,585,2024-09-22
156,2011,1840,2025-05-25
157,5276,4226,2025-03-17
158,4039,2920,2025-11-29
159,6440,1723,2025-07-13
160,5252,2145,2025-12-17
161,1463,604,2025-04-19
162,2469,2354,2025-07-31
163,6039,4189,2025-12-06
164,1758,2751,2025-05-28
165,2364,2717,2025-06-14
166,6182,3720,2025-03-29
167,2364,4620,2025-11-14
168,4150,4313,2025-12-19
169,5835,1893,2025-01-05
170,5067,3482,2025-04-27
171,7255,4263,2025-12-28
172,7952,1641,2025-01-03
173,4604,1042,2025-01-12
174,2966,1235,2025-06-29
175,3045,2346,2025-08-03
176,1763,295,2024-12-18
177,5106,1576,2025-12-30
178,7687,2799,2025-11-10
179,5647,2039,2025-09-12
180,7635,2783,2024-10-03
181,1417,525,2025-07-29
182,2884,518,2025-11-24
183,4016,1604,2025-10-07
184,5573,2348,2025-11-13
185,6470,3112,2025-06-21
186,3441,175,2025-04-18
187,7704,3544,2024-03-10
188,7806,4363,2024-04-14
189,5930,4703,2025-09-21
190,5246,4630,2025-07-16
191,6629,1243,2025-07-15
192,7964,2096,2025-08-02
193,3853,836,2025-07-15
194,7885,2933,2025-12-28
195,3898,2629,2025-11-20
196,3402,864,2024-06-26
197,141,4470,2025-11-21
198,381,630,2025-12-10
199,319,1748,2025-12-20
200,6712,166,2025-11-16
201,1330,1471,2025-07-30
202,7293,841,2024-10-05
203,5864,1146,2025-07-23
204,1718,4769,2025-09-13
205,2771,2977,2025-07-04
206,874,1466,2025-06-13
207,791,3421,2025-10-25
208,4885,4195,2025-12-24
209,1839,1118,2025-08-19
210,1565,1256,2025-10-31
211,4551,2909,2024-05-06
212,7465,2125,2025-04-18
213,809,2145,2025-10-03
214,7997,1037,2025-12-17
215,7664,1346,2025-06-27
216,3353,1890,2025-12-23
217,5144,1091,2025-01-19
218,3379,1046,2024-10-04
219,933,2417,2025-08-04
220,2164,2617,2025-01-04
221,1663,3890,2024-12-05
222,872,2754,2024-12-16
223,5293,298,2025-02-09
224,2185,2637,2025-08-09
225,1022,3218,2025-07-16
226,4002,4453,2025-10-14
227,7061,3610,2025-04-08
228,4045,4510,2025-09-17
229,4097,265,2025-11-26
230,6274,643,2025-12-27
231,5563,1022,2025-10-20
232,5234,2892,2025-11-25
233,6239,4961,2025-02-07
234,823,1705,2025-12-27
235,1464,3463,2024-06-24
236,4397,2446,2025-11-21
237,1526,1604,2025-07-31
238,7425,1433,2025-12-13
239,5786,3222,2025-08-05
240,1558,2767,2025-02-20
241,2911,2202,2025-10-26
242,3396,333,2025-12-26
243,1701,1575,2025-06-05
244,5876,3170,2025-09-09
245,6738,4610,2025-12-14
246,5782,1543,2024-12-21
247,710,288,2025-04-24
248,7180,2796,2024-06-10
249,3641,679,2025-10-15
250,4650,3728,2025-11-10
251,2027,1442,2025-10-30
252,1641,4491,2025-10-20
253,821,2901,2025-05-22
254,2403,2792,2025-11-16
255,2774,1128,2025-12-14
256,3720,4581,2025-12-25
257,5977,3845,2024-03-18
258,3581,1325,2025-09-23
259,5161,3121,2025-12-27
260,55,1493,2025-09-03
261,7200,1764,2025-05-16
262,2702,3519,2025-12-03
263,2329,180,2025-07-05
264,5538,4779,2025-07-08
265,1907,120,2025-08-01
266,5100,4376,2025-08-06
267,3552,4169,2025-10-05
268,4973,642,2025-12-16
269,4913,3057,2025-09-20
270,102,3947,2024-04-12
271,5701,4594,2025-07-17
272,3577,4059,2025-06-28
273,7685,4662,2025-06-25
274,3212,4666,2025-11-21
275,4682,4971,2025-10-30
276,4639,1781,2025-10-27
277,5472,4298,2024-09-09
278,7789,887,2025-12-28
279,4666,1011,2025-09-19
280,7266,4655,2025-10-06
