listing_id,user_id,category,emirate,price,created_date,status
1,4620,Commercial,Sharjah,1574951.25,2025-04-25,active
2,580,Commercial,Abu Dhabi,2141903.02,2025-06-23,active
3,4518,Villas,Dubai,4155657.42,2024-12-31,active
4,4069,Villas,Sharjah,2090424.9,2025-03-20,active
5,1866,Apartments,Dubai,1371646.22,2024-12-15,sold
6,4377,Townhouses,Dubai,2917689.97,2024-11-24,active
7,3950,Apartments,Sharjah,804065.55,2024-04-27,active
8,3497,Villas,Dubai,2581780.65,2025-02-19,sold
9,3013,Villas,Dubai,4661978.33,2025-09-09,active
10,754,Villas,Dubai,4218436.79,2025-05-10,expired
11,4393,Villas,Umm Al Quwain,889898.56,2024-01-11,sold
12,466,Apartments,Dubai,878253.77,2025-02-14,active
13,2865,Townhouses,Ras Al Khaimah,1888073.52,2025-11-02,active
14,3259,Villas,Dubai,2474689.97,2024-08-23,active
15,4454,Apartments,Sharjah,864473.52,2025-06-02,expired
16,1805,Villas,Dubai,3229027.45,2024-08-29,active
17,2001,Villas,Dubai,4089206.39,2025-07-29,active
18,443,Apartments,Abu Dhabi,1402032.74,2025-09-24,active
19,643,Apartments,Dubai,1539980.75,2024-08-22,active
20,4530,Apartments,Dubai,1407227.92,2025-11-07,active
21,1926,Townhouses,Abu Dhabi,2296102.44,2025-10-28,active
22,4088,Penthouses,Dubai,7608848.82,2024-04-01,active
23,693,Apartments,Ras Al Khaimah,564003.44,2025-04-27,active
24,3135,Villas,Dubai,2809898.31,2024-02-16,active
25,3532,Villas,Sharjah,1450089.76,2024-06-01,sold
26,213,Commercial,Sharjah,1162769.57,2024-12-31,sold
27,2151,Penthouses,Abu Dhabi,7834810.64,2025-08-03,active
28,3556,Commercial,Sharjah,1731423.82,2024-05-30,sold
29,895,Villas,Umm Al Quwain,1807472.7,2025-05-12,active
30,4381,Villas,Abu Dhabi,3463927.33,2025-01-09,active
31,1332,Land,Abu Dhabi,1792908.55,2024-07-27,active
32,125,Apartments,Sharjah,588489.12,2025-02-07,expired
33,4447,Apartments,Abu Dhabi,701649.57,2024-05-27,active
34,2202,Townhouses,Sharjah,1941418.94,2025-04-16,sold
35,1019,Apartments,Sharjah,876031.9,2025-08-19,sold
36,3636,Villas,Abu Dhabi,3219454.8,2025-02-16,expired
37,3934,Townhouses,Abu Dhabi,2218079.61,2024-12-25,active
38,652,Apartments,Abu Dhabi,913172.38,2025-12-18,active
39,1473,Apartments,Sharjah,580884.89,2025-10-27,active
40,1864,Townhouses,Dubai,2794801.1,2024-07-28,active
41,938,Townhouses,Dubai,2586578.32,2024-05-30,active
42,2600,Apartments,Sharjah,479136.19,2025-04-18,sold
43,2123,Land,Dubai,1788728.14,2025-04-28,sold
44,4428,Townhouses,Abu Dhabi,2116332.84,2024-07-18,active
45,3636,Apartments,Dubai,897762.87,2025-06-19,active
46,3408,Apartments,Abu Dhabi,889408.82,2024-04-21,active
47,4973,Penthouses,Dubai,6672315.27,2025-06-15,sold
48,3856,Commercial,Dubai,1413605.55,2025-12-31,active
49,2383,Commercial,Fujairah,648385.41,2024-06-18,sold
50,2565,Villas,Sharjah,2213091.63,2024-02-20,active
51,2819,Commercial,Dubai,2273990.54,2024-10-17,sold
52,1230,Villas,Umm Al Quwain,953444.97,2025-10-11,active
53,1840,Villas,Umm Al Quwain,1505324.38,2024-07-08,sold
54,4416,Townhouses,Ajman,1211981.53,2025-03-08,active
55,3870,Townhouses,Abu Dhabi,2059671.21,2025-09-02,active
56,4713,Apartments,Dubai,930237.02,2025-06-11,sold
57,2966,Apartments,Dubai,1537034.18,2025-03-23,sold
58,3646,Townhouses,Ras Al Khaimah,1246776.21,2025-11-22,active
59,4143,Apartments,Dubai,1130816.56,2024-11-28,active
60,3432,Apartments,Ajman,714910.07,2025-03-17,expired
