user_id,signup_date,emirate,user_type
1,2025-11-29,Abu Dhabi,buyer
2,2024-02-04,Dubai,buyer
3,2024-02-25,Sharjah,seller
4,2024-01-22,Ras Al Khaimah,buyer
5,2024-05-30,Abu Dhabi,buyer
6,2025-10-28,Dubai,seller
7,2024-01-10,Dubai,buyer
8,2024-01-22,Abu Dhabi,seller
9,2024-06-03,Dubai,seller
10,2025-08-31,Ajman,buyer
11,2025-08-20,Ajman,seller
12,2024-02-08,Dubai,buyer
13,2024-02-07,Umm Al Quwain,buyer
14,2025-09-09,Dubai,buyer
15,2024-01-14,Ajman,seller
16,2025-04-02,Ajman,seller
17,2025-11-11,Abu Dhabi,agent
18,2024-03-16,Dubai,seller
19,2024-04-16,Ajman,seller
20,2025-05-12,Ras Al Khaimah,seller
21,2025-11-05,Sharjah,buyer
22,2025-09-14,Dubai,buyer
23,2025-07-25,Dubai,buyer
24,2024-09-29,Dubai,buyer
25,2024-05-01,Abu Dhabi,buyer
26,2025-09-09,Dubai,buyer
27,2025-08-08,Dubai,agent
28,2025-10-19,Abu Dhabi,seller
29,2025-10-11,Dubai,seller
30,2025-01-21,Dubai,buyer
31,2025-09-03,Umm Al Quwain,seller
32,2025-01-04,Abu Dhabi,seller
33,2024-05-03,Ajman,seller
34,2025-12-08,Dubai,buyer
35,2024-07-27,Dubai,buyer
36,2024-05-05,Dubai,agent
37,2024-10-03,Ras Al Khaimah,buyer
38,2025-06-09,Sharjah,buyer
39,2025-08-25,Fujairah,buyer
40,2024-02-06,Dubai,buyer
41,2024-04-26,Abu Dhabi,buyer
42,2024-12-01,Abu Dhabi,agent
43,2024-12-27,Dubai,buyer
44,2024-12-05,Umm Al Quwain,seller
45,2024-02-21,Dubai,buyer
46,2024-08-19,Dubai,seller
47,2024-08-07,Sharjah,buyer
48,2024-06-19,Dubai,buyer
49,2025-08-11,Umm Al Quwain,seller
50,2024-07-08,Umm Al Quwain,agent
51,2025-05-25,Dubai,seller
52,2024-10-26,Sharjah,seller
53,2024-03-28,Dubai,seller
54,2024-04-25,Dubai,buyer
55,2025-09-02,Abu Dhabi,agent
56,2024-05-28,Ras Al Khaimah,buyer
57,2025-07-22,Abu Dhabi,buyer
58,2024-08-31,Fujairah,agent
59,2024-10-21,Dubai,seller
60,2024-10-31,Abu Dhabi,buyer
61,2024-12-29,Sharjah,seller
62,2024-08-04,Sharjah,seller
63,2024-08-12,Dubai,buyer
64,2025-11-01,Dubai,agent
65,2025-04-15,Ras Al Khaimah,agent
66,2025-10-30,Dubai,buyer
67,2025-11-08,Ras Al Khaimah,agent
68,2025-07-06,Dubai,buyer
69,2024-05-01,Dubai,seller
70,2025-02-28,Sharjah,buyer
71,2024-05-05,Abu Dhabi,seller
72,2025-10-28,Dubai,agent
73,2025-05-14,Abu Dhabi,buyer
74,2025-01-24,Abu Dhabi,seller
75,2025-03-10,Dubai,buyer
76,2025-05-05,Umm Al Quwain,seller
77,2025-03-02,Abu Dhabi,seller
78,2024-08-13,Dubai,buyer
79,2024-03-16,Dubai,seller
80,2024-06-08,Dubai,buyer
81,2025-09-24,Dubai,seller
82,2025-01-21,Dubai,agent
83,2025-04-21,Ras Al Khaimah,buyer
84,2024-06-02,Dubai,seller
85,2024-10-31,Dubai,buyer
86,2024-06-24,Fujairah,seller
87,2024-10-28,Abu Dhabi,seller
88,2024-08-17,Ajman,buyer
89,2025-01-19,Dubai,buyer
90,2024-12-05,Abu Dhabi,buyer
91,2024-11-16,Sharjah,seller
92,2024-02-28,Umm Al Quwain,buyer
93,2024-02-22,Abu Dhabi,buyer
94,2025-05-05,Ras Al Khaimah,buyer
95,2025-12-14,Dubai,buyer
96,2024-01-26,Abu Dhabi,buyer
97,2025-03-05,Dubai,agent
98,2024-04-29,Abu Dhabi,agent
99,2025-01-08,Abu Dhabi,buyer
100,2025-09-06,Umm Al Quwain,agent
101,2025-12-07,Umm Al Quwain,agent
102,2024-06-16,Ajman,buyer
103,2025-04-04,Abu Dhabi,buyer
104,2025-04-30,Abu Dhabi,buyer
105,2025-06-26,Dubai,agent
106,2024-12-17,Dubai,seller
107,2025-10-19,Abu Dhabi,buyer
108,2025-08-09,Umm Al Quwain,agent
109,2025-04-12,Abu Dhabi,seller
110,2024-08-19,Dubai,buyer
111,2024-04-25,Umm Al Quwain,seller
